"Members – Detailed Travel Expenditures Report – Albas, Dan – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0205146,2020/04/17,2020/09/20,,,,,,,848.8600,0.0000,0.0000,0.0000,0.0000,0,848.8600
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/07/10,West Kelowna,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend a constituency or community event,2020/07/24,Summerland,Keremeos,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend a constituency or community event,2020/07/24,Keremeos,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend a constituency or community event,2020/07/25,Summerland,Kelowna,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/08/27,Kelowna,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend a regional or provincial caucus meeting,2020/09/01,Summerland,Penticton,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend a regional or provincial caucus meeting,2020/09/01,Penticton,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings with stakeholders about business of the House,2020/09/04,Summerland,Penticton,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings with stakeholders about business of the House,2020/09/04,Penticton,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings with stakeholders about business of the House,2020/09/15,Summerland,Princeton,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/04/17,Kelowna,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings with stakeholders about business of the House,2020/09/05,Princeton,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/09/08,Summerland,Kelowna,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/09/11,Kelowna,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To conduct constituency office business,2020/09/18,Summerland,West Kelowna,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To conduct constituency office business,2020/09/18,West Kelowna,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/09/20,Summerland,Kelowna,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/04/17,Summerland,Kelowna,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/05/17,Summerland,Hedley,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/05/17,Hedley,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/05/26,Summerland,West Kelowna,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/05/26,West Kelowna,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend a constituency or community event,2020/07/01,Summerland,Summerland,,,,,,,
T0205146,2020/04/17,2020/09/20,"Albas, Dan",Member,To attend meetings about constituency issues,2020/07/10,Summerland,West Kelowna,,,,,,,
T0203090,2020/05/20,2020/06/20,,,,,,,0.0000,27.3500,0.0000,0,0,0,27.3500
T0203090,2020/05/20,2020/06/20,"Albas, Dan",Member,Secondary Residence,2020/05/20,Ottawa,Ottawa,,,,,,,
T0202809,2020/06/01,2020/06/19,,,,,,,1097.9000,314.3000,1867.7700,1.0000,0,0,3279.9700
T0202809,2020/06/01,2020/06/19,"Albas, Dan",Member,To travel to/from constituency and Ottawa,2020/06/01,Kelowna,Ottawa,,,,,,,
T0202809,2020/06/01,2020/06/19,"Albas, Dan",Member,To travel to/from constituency and Ottawa,2020/06/19,Ottawa,Kelowna,,,,,,,
T0203716,2020/06/20,2020/07/20,,,,,,,0.0000,23.8100,0.0000,0,0,0,23.8100
T0203716,2020/06/20,2020/07/20,"Albas, Dan",Member,Secondary Residence,2020/06/20,Ottawa,Ottawa,,,,,,,
T0204036,2020/07/25,2020/08/08,,,,,,,1483.1100,2462.7600,1438.2500,0,0.0000,0,5384.1200
T0204036,2020/07/25,2020/08/08,"Albas, Dan",Member,To attend language training,2020/07/25,Kelowna,Québec,,,,,,,
T0204036,2020/07/25,2020/08/08,"Albas, Dan",Member,To attend language training,2020/08/08,Québec,Ottawa,,,,,,,
200430656,2020/08/01,2020/08/31,,,,,,,0.0000,1151.0000,0.0000,0,0,0,1151.0000
200430656,2020/08/01,2020/08/31,"Albas, Dan",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204548,2020/08/10,2020/08/27,,,,,,,850.8500,0.0000,1376.2500,0.5000,0,0,2227.1000
T0204548,2020/08/10,2020/08/27,"Albas, Dan",Member,To travel to/from constituency and Ottawa,2020/08/27,Ottawa,Kelowna,,,,,,,
200437138,2020/09/01,2020/09/30,,,,,,,0.0000,1151.0000,0.0000,0,0,0,1151.0000
200437138,2020/09/01,2020/09/30,"Albas, Dan",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200441999,2020/10/01,2020/10/31,,,,,,,0.0000,1151.0000,0.0000,0,0,0,1151.0000
200441999,2020/10/01,2020/10/31,"Albas, Dan",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
